Mayor65Anos,Conyuge,Dependientes,MesesDeContrato,TelefonoFijo,VariasLineasTelefonicas,ServicioDeInternet,SeguridadOnline,BackupOnline,SeguroEnDispositivo,SoporteTecnico,TVaCable,StreamingDePeliculas,TipoDeContrato,PagoOnline,FormaDePago,CuentaMensual,Churn
0,Si,Si,49,Si,No,DSL,Si,Si,No,Si,No,No,Mensual,No,TarjetaDeCredito,59.6,No
0,No,No,30,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,DebitoAutomatico,55.3,No
0,Si,Si,47,Si,Si,FibraOptica,No,Si,No,No,Si,Si,Mensual,Si,ChequeDigital,99.35,Si
0,Si,Si,1,No,SinServicioTelefonico,DSL,No,Si,No,No,No,No,Mensual,No,ChequeDigital,30.2,Si
0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bienal,Si,TarjetaDeCredito,90.25,No
0,No,Si,17,Si,No,DSL,No,No,No,No,Si,Si,Mensual,Si,ChequePapel,64.7,Si
1,Si,No,71,Si,Si,FibraOptica,Si,Si,Si,Si,No,No,Bienal,Si,TarjetaDeCredito,96.35,No
1,Si,No,2,Si,No,FibraOptica,No,No,Si,No,Si,Si,Mensual,Si,TarjetaDeCredito,95.5,No
0,Si,Si,27,Si,No,DSL,Si,Si,Si,Si,No,No,Anual,No,ChequePapel,66.15,No
0,No,No,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,DebitoAutomatico,20.2,No
1,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,DebitoAutomatico,45.25,No
0,Si,Si,72,Si,Si,FibraOptica,Si,Si,No,Si,Si,No,Bienal,No,DebitoAutomatico,99.9,No
0,No,No,5,Si,No,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequeDigital,69.7,Si
0,No,No,46,Si,No,FibraOptica,No,No,Si,No,No,No,Mensual,Si,TarjetaDeCredito,74.8,No
0,No,No,34,Si,Si,FibraOptica,No,Si,Si,No,Si,Si,Mensual,Si,ChequeDigital,106.35,Si
0,No,No,11,Si,Si,FibraOptica,No,No,Si,No,Si,Si,Mensual,Si,DebitoAutomatico,97.85,Si
0,Si,Si,10,Si,No,DSL,No,Si,No,No,No,No,Anual,No,ChequePapel,49.55,No
0,Si,Si,70,Si,Si,DSL,Si,Si,No,No,Si,No,Bienal,Si,TarjetaDeCredito,69.2,No
0,Si,Si,17,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,ChequePapel,20.75,No
0,No,No,63,Si,Si,DSL,Si,Si,Si,Si,Si,No,Bienal,Si,TarjetaDeCredito,79.85,No
0,Si,No,13,Si,Si,DSL,Si,Si,No,Si,Si,No,Mensual,Si,ChequeDigital,76.2,No
0,No,No,49,Si,Si,FibraOptica,No,No,No,No,No,Si,Mensual,Si,ChequeDigital,84.5,No
0,No,No,2,Si,No,DSL,No,Si,No,No,No,No,Mensual,No,ChequePapel,49.25,No
0,No,No,2,Si,No,FibraOptica,No,No,No,No,Si,No,Mensual,Si,ChequeDigital,80.65,Si
0,No,No,52,Si,Si,DSL,Si,No,No,Si,Si,Si,Bienal,Si,TarjetaDeCredito,79.75,No
0,Si,Si,69,Si,Si,DSL,Si,No,Si,Si,No,No,Bienal,Si,TarjetaDeCredito,64.15,No
1,No,No,43,Si,Si,FibraOptica,No,Si,No,No,Si,No,Mensual,Si,ChequeDigital,90.25,No
0,No,No,15,Si,No,FibraOptica,Si,Si,No,No,Si,Si,Mensual,Si,TarjetaDeCredito,99.1,Si
1,Si,No,25,Si,Si,DSL,Si,No,No,Si,Si,No,Mensual,Si,TarjetaDeCredito,69.5,No
1,Si,No,8,Si,Si,FibraOptica,No,Si,No,No,No,No,Mensual,Si,TarjetaDeCredito,80.65,Si
1,Si,Si,60,Si,No,DSL,Si,Si,Si,Si,No,Si,Anual,Si,TarjetaDeCredito,74.85,No
1,No,No,18,Si,Si,FibraOptica,No,No,No,No,Si,Si,Mensual,Si,ChequeDigital,95.45,Si
0,Si,Si,63,Si,Si,FibraOptica,Si,No,No,No,Si,Si,Anual,Si,TarjetaDeCredito,99.65,No
1,Si,Si,66,Si,Si,FibraOptica,No,Si,Si,Si,Si,Si,Anual,Si,ChequeDigital,108.45,No
0,Si,Si,34,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,TarjetaDeCredito,24.95,No
0,No,No,72,Si,Si,FibraOptica,No,No,Si,Si,Si,Si,Bienal,Si,TarjetaDeCredito,107.5,No
0,Si,No,47,Si,Si,FibraOptica,No,No,Si,No,Si,Si,Mensual,Si,ChequeDigital,100.5,No
0,No,No,60,Si,Si,FibraOptica,No,Si,No,No,Si,No,Mensual,Si,DebitoAutomatico,89.9,No
0,Si,No,72,No,SinServicioTelefonico,DSL,Si,Si,Si,No,No,No,Bienal,No,DebitoAutomatico,42.1,No
0,Si,Si,18,Si,No,DSL,No,No,Si,Si,No,No,Anual,Si,TarjetaDeCredito,54.4,No
0,No,No,9,Si,Si,FibraOptica,No,No,No,No,Si,Si,Mensual,No,ChequeDigital,94.4,Si
0,No,No,3,Si,No,DSL,No,Si,No,Si,Si,Si,Mensual,Si,ChequeDigital,75.3,No
0,Si,No,47,Si,Si,FibraOptica,No,Si,No,No,No,No,Anual,Si,ChequeDigital,78.9,No
0,No,No,31,Si,No,DSL,No,Si,Si,Si,Si,Si,Bienal,No,ChequePapel,79.2,No
0,Si,Si,50,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,DebitoAutomatico,20.15,No
0,No,No,10,Si,No,FibraOptica,Si,No,Si,No,No,No,Mensual,Si,ChequePapel,79.85,No
0,No,No,1,Si,No,DSL,No,No,No,Si,No,No,Mensual,No,ChequePapel,49.05,No
0,Si,Si,52,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,Si,ChequeDigital,20.4,No
1,Si,Si,64,Si,Si,FibraOptica,Si,No,Si,Si,Si,Si,Bienal,Si,DebitoAutomatico,111.6,No
0,Si,Si,62,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,Si,DebitoAutomatico,24.25,No
0,No,Si,3,Si,No,DSL,Si,No,No,Si,No,Si,Mensual,Si,DebitoAutomatico,64.5,No
1,No,No,56,Si,Si,FibraOptica,Si,Si,Si,No,Si,Si,Anual,No,ChequeDigital,110.5,No
0,No,No,46,Si,No,DSL,No,No,No,No,No,Si,Anual,No,TarjetaDeCredito,55.65,No
0,Si,Si,8,Si,No,DSL,Si,Si,No,No,No,No,Mensual,No,ChequePapel,54.65,No
1,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,Mensual,Si,ChequeDigital,74.75,No
0,Si,Si,45,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,Si,TarjetaDeCredito,25.9,No
0,No,Si,1,Si,No,FibraOptica,No,No,No,No,Si,No,Mensual,Si,ChequeDigital,79.35,Si
0,Si,Si,11,No,SinServicioTelefonico,DSL,Si,No,No,No,Si,Si,Mensual,No,ChequeDigital,50.55,No
0,Si,No,7,Si,No,FibraOptica,No,No,Si,No,No,No,Mensual,Si,DebitoAutomatico,75.15,Si
0,No,No,42,Si,No,FibraOptica,No,Si,Si,Si,Si,Si,Mensual,Si,DebitoAutomatico,103.8,No
0,Si,No,49,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,Si,DebitoAutomatico,20.15,No
0,No,No,9,Si,Si,FibraOptica,No,Si,No,No,Si,Si,Mensual,Si,TarjetaDeCredito,99.3,No
0,Si,No,35,Si,No,DSL,Si,No,No,No,Si,No,Anual,Si,DebitoAutomatico,62.15,No
0,Si,Si,48,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,DebitoAutomatico,20.65,No
0,Si,Si,46,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,Si,ChequePapel,19.95,No
0,Si,No,29,No,SinServicioTelefonico,DSL,No,No,No,No,Si,No,Mensual,No,ChequePapel,33.75,No
0,Si,Si,30,Si,No,FibraOptica,No,Si,Si,No,No,No,Mensual,No,DebitoAutomatico,82.05,No
1,No,No,1,Si,No,FibraOptica,No,No,No,Si,No,No,Mensual,No,ChequeDigital,74.7,No
0,Si,Si,66,Si,Si,DSL,Si,No,Si,Si,Si,Si,Bienal,Si,ChequePapel,84.0,No
0,No,No,65,Si,Si,FibraOptica,Si,Si,Si,No,Si,Si,Mensual,Si,TarjetaDeCredito,111.05,No
0,No,No,72,Si,Si,FibraOptica,No,Si,Si,No,Si,Si,Bienal,Si,DebitoAutomatico,100.9,No
0,No,No,12,Si,Si,FibraOptica,Si,No,No,No,No,No,Mensual,Si,ChequeDigital,78.95,Si
0,Si,Si,71,Si,Si,DSL,Si,Si,No,Si,No,No,Anual,Si,TarjetaDeCredito,66.85,No
0,No,No,5,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,21.05,Si
0,No,No,52,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,DebitoAutomatico,21.0,No
1,Si,No,25,Si,No,FibraOptica,No,Si,Si,No,Si,Si,Mensual,Si,ChequeDigital,98.5,Si
0,No,No,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,20.2,No
0,Si,Si,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequeDigital,19.45,No
0,No,No,38,Si,Si,FibraOptica,No,No,Si,Si,Si,No,Anual,No,DebitoAutomatico,95.0,No
1,Si,No,66,No,SinServicioTelefonico,DSL,No,Si,Si,No,Si,No,Anual,No,DebitoAutomatico,45.55,No
0,Si,No,68,Si,Si,FibraOptica,No,Si,Si,Si,Si,Si,Bienal,Si,DebitoAutomatico,110.0,Si
0,No,No,5,No,SinServicioTelefonico,DSL,No,No,No,No,No,No,Mensual,No,ChequePapel,24.3,No
0,Si,Si,72,Si,Si,FibraOptica,Si,Si,No,No,Si,Si,Anual,Si,ChequeDigital,104.15,No
0,No,No,32,No,SinServicioTelefonico,DSL,Si,No,No,No,No,No,Anual,No,ChequePapel,30.15,No
0,No,No,43,Si,Si,FibraOptica,No,No,No,No,Si,Si,Anual,No,ChequePapel,94.35,No
0,Si,Si,72,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,TarjetaDeCredito,19.4,No
0,Si,No,55,Si,Si,FibraOptica,Si,Si,No,No,Si,No,Mensual,Si,ChequeDigital,96.75,Si
0,No,No,52,Si,No,DSL,Si,No,Si,Si,No,No,Anual,No,TarjetaDeCredito,57.95,No
0,No,No,43,Si,No,FibraOptica,No,Si,Si,No,Si,No,Mensual,Si,ChequeDigital,91.65,No
1,Si,No,37,Si,Si,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequeDigital,76.5,Si
0,Si,Si,64,No,SinServicioTelefonico,DSL,No,Si,No,Si,Si,Si,Bienal,Si,ChequeDigital,54.6,No
0,Si,Si,3,Si,No,FibraOptica,Si,Si,No,No,Si,No,Mensual,No,ChequeDigital,89.85,No
0,No,No,36,No,SinServicioTelefonico,DSL,Si,No,No,No,No,No,Bienal,No,DebitoAutomatico,31.05,No
0,Si,Si,10,Si,Si,FibraOptica,Si,No,No,No,Si,Si,Mensual,Si,ChequeDigital,100.25,Si
0,No,No,41,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,ChequePapel,20.65,No
0,Si,Si,27,Si,Si,FibraOptica,No,Si,No,Si,No,No,Mensual,Si,TarjetaDeCredito,85.2,No
0,Si,Si,56,Si,Si,FibraOptica,No,No,Si,No,Si,Si,Anual,Si,TarjetaDeCredito,99.8,No
0,No,No,6,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,20.7,No
0,No,No,3,Si,Si,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequeDigital,74.4,Si
0,Si,Si,7,Si,No,DSL,Si,No,No,No,No,No,Mensual,No,ChequePapel,50.7,No
0,Si,Si,4,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,20.85,No
0,No,No,33,Si,No,FibraOptica,Si,No,No,Si,Si,No,Bienal,Si,ChequeDigital,88.95,No
1,No,No,27,Si,Si,FibraOptica,No,No,Si,No,No,No,Mensual,Si,ChequeDigital,78.05,Si
0,Si,No,72,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,Si,DebitoAutomatico,23.55,No
0,No,No,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,19.75,No
1,No,No,71,No,SinServicioTelefonico,DSL,Si,Si,No,No,Si,Si,Anual,Si,ChequeDigital,56.45,No
0,No,No,13,Si,Si,FibraOptica,No,No,No,No,No,Si,Mensual,Si,ChequeDigital,85.95,No
0,Si,Si,25,No,SinServicioTelefonico,DSL,Si,Si,Si,No,Si,Si,Mensual,Si,TarjetaDeCredito,58.6,Si
0,No,No,67,Si,No,DSL,No,No,No,Si,No,No,Bienal,No,DebitoAutomatico,50.55,No
0,No,No,1,No,SinServicioTelefonico,DSL,No,No,No,No,No,Si,Mensual,Si,ChequeDigital,35.45,Si
0,No,No,2,Si,No,DSL,No,No,No,No,No,No,Mensual,No,ChequeDigital,44.35,Si
0,No,No,43,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,Si,TarjetaDeCredito,25.7,No
0,No,No,23,Si,No,FibraOptica,Si,No,No,No,No,No,Mensual,Si,DebitoAutomatico,75.0,No
0,Si,Si,64,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,ChequePapel,20.2,No
0,No,Si,57,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,Si,ChequePapel,19.6,No
1,Si,No,1,Si,No,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequePapel,70.45,Si
1,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bienal,Si,TarjetaDeCredito,88.05,No
0,No,No,8,Si,Si,DSL,Si,No,No,Si,No,Si,Mensual,No,ChequeDigital,71.15,Si
0,Si,No,61,Si,Si,FibraOptica,No,Si,No,No,Si,Si,Bienal,Si,DebitoAutomatico,101.05,No
0,No,No,64,Si,Si,FibraOptica,Si,Si,No,No,No,No,Anual,Si,TarjetaDeCredito,84.3,No
1,Si,No,71,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,DebitoAutomatico,23.95,No
0,Si,Si,65,Si,Si,FibraOptica,Si,Si,No,Si,Si,No,Bienal,Si,TarjetaDeCredito,99.05,No
0,No,No,3,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,ChequePapel,19.6,No
0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,Si,ChequeDigital,45.65,Si
0,No,Si,30,Si,No,DSL,No,Si,Si,No,Si,No,Anual,No,TarjetaDeCredito,64.5,No
0,Si,Si,15,Si,No,DSL,No,Si,Si,Si,No,Si,Mensual,Si,ChequePapel,69.5,No
0,Si,Si,8,Si,No,DSL,No,No,No,Si,Si,Si,Mensual,Si,ChequeDigital,68.55,No
0,No,No,7,Si,Si,FibraOptica,No,No,No,No,Si,Si,Mensual,No,ChequePapel,95.0,Si
0,Si,Si,70,Si,Si,FibraOptica,Si,Si,Si,No,Si,Si,Anual,Si,TarjetaDeCredito,108.15,No
0,Si,Si,62,Si,No,DSL,Si,Si,Si,Si,Si,Si,Bienal,No,ChequeDigital,86.1,No
0,Si,Si,6,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,19.7,No
0,Si,Si,14,Si,No,FibraOptica,No,No,No,No,No,Si,Mensual,Si,DebitoAutomatico,80.9,No
0,No,No,22,Si,Si,FibraOptica,No,No,No,No,Si,No,Mensual,Si,DebitoAutomatico,84.15,No
0,Si,Si,22,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,ChequePapel,20.15,No
0,Si,Si,16,Si,No,DSL,Si,No,Si,No,Si,No,Bienal,No,ChequePapel,64.25,No
0,No,No,10,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,DebitoAutomatico,25.7,No
0,No,Si,13,Si,No,DSL,Si,Si,No,No,No,No,Mensual,Si,ChequeDigital,56.0,No
0,Si,No,20,Si,Si,FibraOptica,Si,No,No,No,No,No,Mensual,No,ChequeDigital,82.4,Si
0,No,No,2,Si,No,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequeDigital,69.7,No
0,No,No,53,Si,Si,DSL,No,Si,Si,Si,No,Si,Bienal,Si,DebitoAutomatico,73.9,No
0,Si,Si,11,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,ChequePapel,20.6,No
0,Si,No,69,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,ChequePapel,19.9,No
0,No,No,4,Si,No,FibraOptica,No,No,No,No,No,No,Mensual,Si,DebitoAutomatico,70.9,Si
0,Si,No,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,Bienal,Si,DebitoAutomatico,89.05,No
1,Si,No,58,No,SinServicioTelefonico,DSL,No,Si,Si,No,No,Si,Mensual,Si,ChequeDigital,45.3,Si
0,Si,Si,16,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequeDigital,20.4,No
0,Si,No,43,Si,No,FibraOptica,Si,No,Si,Si,No,No,Anual,Si,DebitoAutomatico,84.25,No
0,Si,No,2,Si,Si,FibraOptica,No,No,Si,Si,Si,Si,Mensual,Si,ChequeDigital,104.4,Si
0,Si,No,14,Si,No,DSL,No,Si,Si,Si,Si,Si,Bienal,No,ChequePapel,81.95,No
0,Si,No,53,Si,No,FibraOptica,No,No,Si,No,Si,Si,Anual,Si,DebitoAutomatico,94.85,Si
0,No,No,32,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,DebitoAutomatico,20.55,No
0,Si,No,34,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequeDigital,24.7,No
1,No,No,15,Si,Si,FibraOptica,No,No,No,No,No,No,Mensual,Si,ChequePapel,74.45,Si
1,No,No,7,Si,No,FibraOptica,Si,No,No,No,No,No,Mensual,No,DebitoAutomatico,76.45,Si
0,Si,Si,15,Si,Si,FibraOptica,No,Si,Si,No,Si,Si,Mensual,Si,DebitoAutomatico,105.35,No
0,Si,No,61,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,Si,TarjetaDeCredito,20.55,No
0,No,No,1,No,SinServicioTelefonico,DSL,No,Si,No,No,No,No,Mensual,No,DebitoAutomatico,29.95,Si
0,No,No,1,Si,No,DSL,No,No,No,No,No,No,Mensual,No,ChequePapel,45.3,No
0,No,No,8,Si,Si,FibraOptica,No,No,No,No,No,Si,Mensual,No,DebitoAutomatico,84.5,Si
0,Si,Si,33,Si,No,DSL,Si,No,Si,No,Si,Si,Anual,No,TarjetaDeCredito,74.75,No
0,No,No,13,Si,No,FibraOptica,No,Si,Si,No,No,No,Mensual,Si,ChequeDigital,79.25,Si
0,Si,No,1,No,SinServicioTelefonico,DSL,No,No,No,No,No,No,Mensual,Si,ChequeDigital,24.8,Si
0,No,No,20,Si,No,DSL,No,Si,No,No,No,No,Mensual,Si,ChequePapel,51.8,No
0,No,No,3,No,SinServicioTelefonico,DSL,No,No,No,Si,No,No,Mensual,No,ChequeDigital,30.4,No
0,No,No,13,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Anual,No,ChequeDigital,19.65,No
0,Si,No,40,Si,Si,DSL,No,Si,No,No,No,No,Mensual,No,TarjetaDeCredito,56.6,No
0,Si,Si,43,Si,Si,DSL,Si,No,No,Si,No,Si,Anual,Si,TarjetaDeCredito,71.9,No
0,Si,No,6,Si,No,FibraOptica,No,Si,Si,No,No,Si,Mensual,Si,ChequeDigital,91.0,Si
0,Si,Si,69,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,DebitoAutomatico,19.75,No
0,Si,Si,72,Si,Si,FibraOptica,Si,Si,Si,No,Si,Si,Bienal,No,TarjetaDeCredito,109.7,No
0,Si,Si,59,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,No,TarjetaDeCredito,19.3,No
0,Si,No,20,Si,No,FibraOptica,Si,Si,No,Si,Si,No,Mensual,Si,ChequeDigital,96.55,No
0,Si,Si,24,Si,Si,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Bienal,Si,DebitoAutomatico,24.1,No
0,No,No,59,Si,Si,FibraOptica,No,Si,Si,Si,Si,Si,Mensual,Si,ChequeDigital,111.35,No
0,Si,Si,72,Si,Si,FibraOptica,No,Si,Si,Si,Si,Si,Bienal,Si,DebitoAutomatico,112.25,No
0,No,Si,1,Si,No,No,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,SinServicioDeInternet,Mensual,No,ChequePapel,20.75,No
0,Si,No,27,Si,No,FibraOptica,Si,No,No,Si,Si,Si,Anual,Si,TarjetaDeCredito,101.9,No
